Code,Label
A01,"01 Crop and animal production, hunting and related service activities"
A01.1,01.1 Growing of non-perennial crops
A01.11,"01.11 Growing of cereals (except rice), leguminous crops and oil seeds"
A01.12,01.12 Growing of rice
A01.13,"01.13 Growing of vegetables and melons, roots and tubers"
A01.14,01.14 Growing of sugar cane
A01.15,01.15 Growing of tobacco
A01.16,01.16 Growing of fibre crops
A01.19,01.19 Growing of other non-perennial crops
A01.2,01.2 Growing of perennial crops
A01.14,01.14 Growing of sugar cane
